Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,target
-0.5745582,-0.43214875,-1.0644242,-0.64189833,-0.60768527,-0.72621155,-0.63821685,0.5
-1.448986,-1.4399291,-1.1839782,-1.2302772,-1.1709098,-1.2052212,-1.2129874,0.21428572
0.050032675,0.12213013,-0.10799071,-0.30946937,-0.46349975,-0.35668987,-0.20713915,0.2857143
-0.6994766,-0.43214875,-0.34709916,-0.6378195,-0.6482374,-0.6075997,-0.6022937,0.32142857
-1.6155436,-1.5407071,-1.4230866,-1.2720858,-1.2159677,-1.2873372,-1.3207567,0.21428572
-0.8243947,-1.0872059,-1.0644242,-0.97330755,-0.9839192,-0.9406254,-0.85375583,0.25
0.050032675,0.07174117,0.25067177,-0.10450554,-0.55136275,-0.35668987,0.6550166,0.6785714
0.1749513,0.17251939,-0.34709916,-0.12388016,-0.29453242,-0.2836979,0.15209234,0.53571427
-0.4080007,-0.3817598,-0.34709916,-0.6510758,-0.6437316,-0.6212857,-0.5304474,0.2857143
0.21659067,0.32368627,0.25067177,0.13410921,-0.20216359,-0.27001196,0.5831702,0.64285713
0.008393298,-0.28098187,0.011563333,-0.45324993,-0.745112,-0.30194592,-0.20713915,0.4642857
-0.7827553,-0.5833159,-0.7057617,-0.86215806,-0.8645156,-0.9086914,-0.74598634,0.32142857
-0.28308234,-0.28098187,-0.10799071,-0.58581376,-0.6392258,-0.78095555,-0.35083172,0.35714287
0.09167255,-0.029036755,0.13111737,-0.2941736,-0.391407,-0.087532,-0.24306226,0.32142857
-0.4496401,-0.532927,-0.94486994,-0.72041684,-0.8645156,-0.9132534,-0.38675484,0.32142857
-0.19980358,-0.079425715,-0.22754511,-0.33496237,-0.45674115,-0.43424377,0.008399768,0.39285713
-1.4073467,-1.288762,-1.3035324,-1.0977136,-1.1911858,-1.2873372,-0.88967896,0.21428572
-0.6994766,-0.68409383,-0.94486994,-0.7703831,-0.7721468,-0.8539475,-0.7819095,0.32142857
-1.3240677,-1.137595,-1.4230866,-1.169094,-1.1821742,-1.2554032,-0.99744844,0.21428572
-0.6161978,-0.88565,-0.94486994,-0.91314405,-0.8509982,-0.96343535,-0.88967896,0.2857143
-1.4073467,-1.288762,-1.0644242,-1.1894883,-1.1889329,-1.0820473,-1.1770642,0.35714287
-1.1991496,-1.3391509,-0.94486994,-1.2302772,-1.2587727,-1.2006593,-1.1052178,0.32142857
0.3415088,0.32368627,0.37022582,0.22588399,0.30699137,0.3047997,0.2239388,0.39285713
0.21659067,0.07174117,-0.10799071,-0.13305771,-0.18639338,0.26830363,-0.27898538,0.2857143
0.75790304,0.7267983,0.6093343,0.67864,0.6922369,1.098587,0.4754008,0.32142857
0.29986942,0.32368627,0.011563333,0.20345019,0.10423047,0.0675758,0.4394777,0.35714287
0.46642694,0.4244642,1.0875508,0.34009284,0.1583,0.8339914,0.33170813,0.35714287
0.5497057,0.37407523,0.011563333,0.20854878,-0.01517306,0.48727953,0.295785,0.39285713
0.6746243,0.6764093,0.9679968,0.21976575,0.15604712,0.3504196,0.40355438,0.5
0.42478755,0.17251939,0.011563333,0.070886485,0.1515414,0.42341158,-0.27898538,0.35714287
0.46642694,0.6260204,0.6093343,0.34417167,0.15379426,0.5602715,0.6550166,0.32142857
1.2992154,1.5330225,0.6093343,1.6524736,1.1090229,0.9115452,1.5890185,0.5
1.1742973,1.1802993,0.6093343,1.0386016,0.8657101,1.6140926,0.7987091,0.60714287
1.2992154,1.4322447,0.8484424,1.9767445,2.052987,1.9334326,1.5530953,0.64285713
1.5074123,1.4322447,1.4462132,1.7962539,1.2329324,2.1067884,1.8045574,0.42857143
-0.49127945,-0.532927,-0.8253159,-0.71225905,-0.59642076,-0.51635975,-0.81783265,0.25
0.13331193,0.6764093,0.37022582,0.7918291,0.77108824,1.1578931,0.72686285,0.53571427
-0.6161978,-0.532927,-0.8253159,-0.6245631,-0.55136275,-0.5847897,-0.6741401,0.25
0.42478755,0.37407523,-0.10799071,0.11065563,0.09747186,0.20899777,0.15209234,0.35714287
-1.4073467,-1.1879841,-1.1839782,-1.0222542,-1.0154598,-0.86307144,-1.0692947,0.2857143
-0.6161978,-0.7344828,-0.8253159,-0.8234086,-0.7789055,-0.81745154,-0.88967896,0.2857143
0.21659067,0.17251939,-0.10799071,0.04641314,0.011861636,0.14056775,0.2239388,0.4642857
-2.3650532,-2.3469312,-2.2599657,-1.5474104,-1.4773037,-1.4333211,-1.5722189,0.14285715
-2.6565292,-2.5988762,-2.0208573,-1.6045147,-1.5043386,-1.510875,-1.6296959,0.14285715
-2.6148899,-2.5988762,-2.1404116,-1.6045147,-1.5403849,-1.533685,-1.608142,0.10714286
-1.1158708,-1.137595,-1.0644242,-1.2761647,-1.2249793,-1.2371552,-1.1770642,0.21428572
-0.4496401,-0.3817598,-0.46665338,-0.50831485,-0.29903817,0.42341158,-0.7100632,0.2857143
-0.5329188,-0.33137083,-0.46665338,-0.75100845,-0.81945765,-0.6440956,-0.63821685,0.21428572
-1.6571833,-1.641485,-1.6621948,-1.3618212,-1.2790489,-1.415073,-1.392603,0.17857143
0.008393298,0.17251939,0.48977986,0.01378213,-0.021931801,0.30023763,0.04432299,0.2857143
-0.033246078,0.021352207,-0.46665338,-0.4767035,-0.5446041,-0.6349716,-0.35083172,0.25
-1.0325918,-0.88565,-1.0644242,-1.0722204,-1.0177127,-1.1002953,-0.99744844,0.21428572
-0.32472172,-0.48253772,-0.22754511,-0.58581376,-0.4499824,-0.7718315,-0.5663706,0.32142857
-0.4496401,-0.48253772,-0.46665338,-0.716338,-0.67076635,-0.6851536,-0.63821685,0.32142857
-0.9909525,-0.9864279,-0.94486994,-0.9049863,-0.8397338,-0.8128895,-0.92560214,0.21428572
-0.19980358,-0.079425715,0.011563333,-0.34108075,-0.46349975,-0.046474013,-0.1352928,0.25
-0.6578372,-0.5833159,-0.46665338,-0.7877184,-0.7541236,-0.77639353,-0.74598634,0.25
-0.4496401,-0.2305929,-0.10799071,-0.48792046,-0.3733839,-0.55285573,-0.4945243,0.25
-2.3234138,-2.1957643,-1.9013032,-1.5147792,-1.429993,-1.519999,-1.5362957,0.10714286
-0.1581642,-0.079425715,-0.34709916,-0.50117683,-0.5108106,-0.4616158,-0.45860118,0.21428572
-0.6161978,-0.6337049,-0.8253159,-0.85094106,-0.80819315,-0.6212857,-0.74598634,0.21428572
-0.1581642,-0.029036755,-0.7057617,-0.4155203,-0.24496864,-0.18789598,-0.45860118,0.2857143
0.050032675,0.021352207,-0.22754511,-0.26970023,-0.25848612,0.11775779,-0.27898538,0.32142857
-0.8243947,-0.83526105,-1.0644242,-0.91824263,-0.8509982,-0.91781545,-0.99744844,0.21428572
-0.033246078,-0.079425715,-0.46665338,-0.50729525,-0.5648802,-0.4479297,-0.38675484,0.25
-0.4080007,-0.532927,-0.46665338,-0.71123934,-0.5648802,-0.7216496,-0.74598634,0.25
0.3415088,0.32368627,0.48977986,0.17591777,-0.02418467,0.11775779,0.5831702,0.39285713
0.59134555,0.87796545,1.0875508,0.93051106,0.2551747,0.39603966,1.7686343,0.42857143
-0.4080007,-0.18020394,-0.46665338,-0.6082476,-0.65724903,-0.5939136,-0.4945243,0.32142857
-1.7821014,-1.7422631,-1.6621948,-1.3822157,-1.3353713,-1.2782131,-1.392603,0.17857143
0.25823006,0.17251939,-0.22754511,-0.12693934,-0.4297063,-0.11490403,0.25986192,0.42857143
-1.0325918,-0.88565,-0.7057617,-0.97024846,-0.98617214,-0.7490216,-0.99744844,0.25
0.59134555,0.6764093,0.72888833,0.85301226,0.54354554,0.40516356,1.3375565,0.6785714
0.3831482,0.7267983,0.8484424,0.72656685,0.51651084,0.73362744,1.014248,0.35714287
0.6746243,0.4244642,1.3266588,0.5491356,0.5480514,0.99366117,0.54724705,0.42857143
0.63298494,0.6764093,0.25067177,0.36456618,0.37457824,0.36866763,0.295785,0.5
0.59134555,0.6764093,0.011563333,0.23506154,0.01411464,0.07669981,0.54724705,0.2857143
0.63298494,0.6260204,0.25067177,0.1901938,0.016367508,0.12231987,0.4754008,0.32142857
0.25823006,0.17251939,0.011563333,-0.08309137,-0.34860197,-0.19245793,0.33170813,0.35714287
0.75790304,0.6764093,0.72888833,0.55831295,0.49623477,0.5009655,0.762786,0.4642857
0.42478755,0.37407523,0.011563333,0.22894318,0.11324208,0.6515115,0.33170813,0.2857143
0.7995424,1.0291324,0.8484424,1.6035268,0.68097246,0.10407184,3.133714,0.39285713
-0.033246078,0.17251939,0.6093343,0.3258167,0.16505873,0.40516356,0.5831702,0.53571427
0.59134555,0.6764093,0.48977986,0.9967929,0.21912827,0.48727953,2.451174,0.71428573
0.46642694,0.4244642,0.011563333,0.37578303,0.09296599,0.32304773,0.8705555,0.4642857
0.3831482,0.5756314,0.9679968,0.95090544,-0.09177168,0.3823536,1.4453259,0.39285713
0.8411818,0.5756314,0.011563333,0.7469615,0.55481005,0.22268373,1.1579406,0.42857143
0.29986942,0.32368627,0.48977986,0.0729259,-0.13007085,0.24549368,0.15209234,0.32142857
-0.5329188,-0.532927,-0.22754511,-0.63578,-0.6257084,-0.6075997,-0.5304474,0.2857143
0.42478755,0.4244642,0.48977986,0.30338287,-0.20666946,0.45990762,0.6550166,0.39285713
0.3415088,0.17251939,-0.10799071,-0.035164446,-0.082760066,-0.11946597,0.11616922,0.5
0.25823006,0.32368627,0.25067177,-0.15039293,-0.23595704,-0.25632587,0.15209234,0.39285713
