frequency,angle,length,velocity,thickness,target
-0.6620227,-1.146403,1.7992992,1.3129357,-0.64480454,0.60682845
-0.59856135,-1.146403,1.7992992,1.3129357,-0.64480454,0.5802377
-0.51923466,-1.146403,1.7992992,1.3129357,-0.64480454,0.60018075
-0.4081773,-1.146403,1.7992992,1.3129357,-0.64480454,0.6437898
-0.2812546,-1.146403,1.7992992,1.3129357,-0.64480454,0.64033294
-0.12260119,-1.146403,1.7992992,1.3129357,-0.64480454,0.5900763
0.08364822,-1.146403,1.7992992,1.3129357,-0.64480454,0.5802377
0.35335898,-1.146403,1.7992992,1.3129357,-0.64480454,0.5233334
0.67066574,-1.146403,1.7992992,1.3129357,-0.64480454,0.47653374
1.0831646,-1.146403,1.7992992,1.3129357,-0.64480454,0.42973387
1.622586,-1.146403,1.7992992,1.3129357,-0.64480454,0.3661819
2.2571995,-1.146403,1.7992992,1.3129357,-0.64480454,0.31938204
3.0504665,-1.146403,1.7992992,1.3129357,-0.64480454,0.23562102
4.1610403,-1.146403,1.7992992,1.3129357,-0.64480454,0.14202152
-0.7572148,-1.146403,1.7992992,0.29800728,-0.6320675,0.6125456
-0.71596485,-1.146403,1.7992992,0.29800728,-0.6320675,0.64658177
-0.6620227,-1.146403,1.7992992,0.29800728,-0.6320675,0.65695214
-0.59856135,-1.146403,1.7992992,0.29800728,-0.6320675,0.6271706
-0.51923466,-1.146403,1.7992992,0.29800728,-0.6320675,0.60377055
-0.4081773,-1.146403,1.7992992,0.29800728,-0.6320675,0.62770236
-0.2812546,-1.146403,1.7992992,0.29800728,-0.6320675,0.61786366
-0.12260119,-1.146403,1.7992992,0.29800728,-0.6320675,0.55112094
0.08364822,-1.146403,1.7992992,0.29800728,-0.6320675,0.5279868
0.35335898,-1.146403,1.7992992,0.29800728,-0.6320675,0.47134852
0.67066574,-1.146403,1.7992992,0.29800728,-0.6320675,0.43146235
1.0831646,-1.146403,1.7992992,0.29800728,-0.6320675,0.38811922
1.622586,-1.146403,1.7992992,0.29800728,-0.6320675,0.34823304
2.2571995,-1.146403,1.7992992,0.29800728,-0.6320675,0.2578243
3.0504665,-1.146403,1.7992992,0.29800728,-0.6320675,0.20464271
-0.8524068,-1.146403,1.7992992,-0.72334456,-0.6114853,0.39218763
-0.8365415,-1.146403,1.7992992,-0.72334456,-0.6114853,0.42383072
-0.81591654,-1.146403,1.7992992,-0.72334456,-0.6114853,0.51583487
-0.78894544,-1.146403,1.7992992,-0.72334456,-0.6114853,0.56981415
-0.7572148,-1.146403,1.7992992,-0.72334456,-0.6114853,0.62698436
-0.71596485,-1.146403,1.7992992,-0.72334456,-0.6114853,0.67139095
-0.6620227,-1.146403,1.7992992,-0.72334456,-0.6114853,0.6838886
-0.59856135,-1.146403,1.7992992,-0.72334456,-0.6114853,0.65197974
-0.51923466,-1.146403,1.7992992,-0.72334456,-0.6114853,0.5881618
-0.4081773,-1.146403,1.7992992,-0.72334456,-0.6114853,0.54960525
-0.2812546,-1.146403,1.7992992,-0.72334456,-0.6114853,0.54003257
-0.12260119,-1.146403,1.7992992,-0.72334456,-0.6114853,0.47913963
0.08364822,-1.146403,1.7992992,-0.72334456,-0.6114853,0.4504215
0.35335898,-1.146403,1.7992992,-0.72334456,-0.6114853,0.42143744
0.67066574,-1.146403,1.7992992,-0.72334456,-0.6114853,0.38314685
1.0831646,-1.146403,1.7992992,-0.72334456,-0.6114853,0.34166506
1.622586,-1.146403,1.7992992,-0.72334456,-0.6114853,0.3031085
2.2571995,-1.146403,1.7992992,-0.72334456,-0.6114853,0.23290883
3.0504665,-1.146403,1.7992992,-0.72334456,-0.6114853,0.16590011
-0.8524068,-1.146403,1.7992992,-1.2308085,-0.5954133,0.36735186
-0.8365415,-1.146403,1.7992992,-1.2308085,-0.5954133,0.404579
